{'iter_num': 4000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 1], [train loss 7.02587], [loss_fuse 0.77076], [loss1_h2l 0.76520], [loss2_h2l 0.76641], [loss3_h2l 0.76863], [loss4_h2l 0.79498], [loss1_l2h 0.79291], [loss2_l2h 0.79070], [loss3_l2h 0.78522], [loss4_l2h 0.78605], [lr 0.0050000000000], [loss_con 0.00501]
[iter 2], [train loss 7.00910], [loss_fuse 0.76998], [loss1_h2l 0.76781], [loss2_h2l 0.77130], [loss3_h2l 0.77411], [loss4_h2l 0.78642], [loss1_l2h 0.78859], [loss2_l2h 0.78414], [loss3_l2h 0.77994], [loss4_l2h 0.78249], [lr 0.0049988749859], [loss_con 0.00432]
[iter 3], [train loss 6.94710], [loss_fuse 0.76551], [loss1_h2l 0.76490], [loss2_h2l 0.76470], [loss3_h2l 0.76882], [loss4_h2l 0.77070], [loss1_l2h 0.78151], [loss2_l2h 0.77693], [loss3_l2h 0.77429], [loss4_l2h 0.77642], [lr 0.0049977499437], [loss_con 0.00332]
[iter 4], [train loss 6.77667], [loss_fuse 0.74730], [loss1_h2l 0.74460], [loss2_h2l 0.74369], [loss3_h2l 0.74754], [loss4_h2l 0.74840], [loss1_l2h 0.76396], [loss2_l2h 0.75869], [loss3_l2h 0.75787], [loss4_l2h 0.75941], [lr 0.0049966248734], [loss_con 0.00520]
[iter 5], [train loss 6.58334], [loss_fuse 0.72651], [loss1_h2l 0.72461], [loss2_h2l 0.72355], [loss3_h2l 0.72570], [loss4_h2l 0.72570], [loss1_l2h 0.74198], [loss2_l2h 0.73628], [loss3_l2h 0.73533], [loss4_l2h 0.73729], [lr 0.0049954997749], [loss_con 0.00639]
[iter 6], [train loss 6.36361], [loss_fuse 0.70285], [loss1_h2l 0.70042], [loss2_h2l 0.69842], [loss3_h2l 0.69947], [loss4_h2l 0.69899], [loss1_l2h 0.71734], [loss2_l2h 0.71286], [loss3_l2h 0.71240], [loss4_l2h 0.71421], [lr 0.0049943746483], [loss_con 0.00664]
[iter 7], [train loss 6.08929], [loss_fuse 0.67259], [loss1_h2l 0.66888], [loss2_h2l 0.66648], [loss3_h2l 0.66676], [loss4_h2l 0.66683], [loss1_l2h 0.68673], [loss2_l2h 0.68341], [loss3_l2h 0.68320], [loss4_l2h 0.68473], [lr 0.0049932494935], [loss_con 0.00967]
[iter 8], [train loss 5.86257], [loss_fuse 0.64731], [loss1_h2l 0.64292], [loss2_h2l 0.64057], [loss3_h2l 0.64094], [loss4_h2l 0.64066], [loss1_l2h 0.66063], [loss2_l2h 0.65858], [loss3_l2h 0.65839], [loss4_l2h 0.66003], [lr 0.0049921243105], [loss_con 0.01253]
[iter 9], [train loss 5.64480], [loss_fuse 0.62299], [loss1_h2l 0.61806], [loss2_h2l 0.61514], [loss3_h2l 0.61546], [loss4_h2l 0.61431], [loss1_l2h 0.63691], [loss2_l2h 0.63555], [loss3_l2h 0.63548], [loss4_l2h 0.63695], [lr 0.0049909990993], [loss_con 0.01395]
[iter 10], [train loss 5.37789], [loss_fuse 0.59279], [loss1_h2l 0.58771], [loss2_h2l 0.58469], [loss3_h2l 0.58504], [loss4_h2l 0.58440], [loss1_l2h 0.60751], [loss2_l2h 0.60647], [loss3_l2h 0.60657], [loss4_l2h 0.60770], [lr 0.0049898738600], [loss_con 0.01502]
[iter 11], [train loss 5.23122], [loss_fuse 0.57639], [loss1_h2l 0.57179], [loss2_h2l 0.56912], [loss3_h2l 0.56906], [loss4_h2l 0.56842], [loss1_l2h 0.58761], [loss2_l2h 0.59011], [loss3_l2h 0.58993], [loss4_l2h 0.59154], [lr 0.0049887485925], [loss_con 0.01725]
