{'iter_num': 5000, 'train_batch_size': 8, 'last_iter': 0, 'lr': 0.005, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416}

[iter 1], [train loss 5.88224], [loss_fuse 0.64646], [loss1_h2l 0.66094], [loss2_h2l 0.65701], [loss3_h2l 0.66366], [loss4_h2l 0.66415], [loss1_l2h 0.64640], [loss2_l2h 0.64890], [loss3_l2h 0.64657], [loss4_l2h 0.64815], [lr 0.0050000000000]
[iter 2], [train loss 5.86211], [loss_fuse 0.64626], [loss1_h2l 0.65826], [loss2_h2l 0.65379], [loss3_h2l 0.65803], [loss4_h2l 0.65244], [loss1_l2h 0.64747], [loss2_l2h 0.64948], [loss3_l2h 0.64753], [loss4_l2h 0.64885], [lr 0.0049990999910]
[iter 3], [train loss 5.83224], [loss_fuse 0.64393], [loss1_h2l 0.65437], [loss2_h2l 0.64930], [loss3_h2l 0.65131], [loss4_h2l 0.64815], [loss1_l2h 0.64351], [loss2_l2h 0.64745], [loss3_l2h 0.64657], [loss4_l2h 0.64765], [lr 0.0049981999640]
[iter 4], [train loss 5.77932], [loss_fuse 0.63800], [loss1_h2l 0.64686], [loss2_h2l 0.64220], [loss3_h2l 0.64244], [loss4_h2l 0.64168], [loss1_l2h 0.63834], [loss2_l2h 0.64327], [loss3_l2h 0.64268], [loss4_l2h 0.64387], [lr 0.0049972999190]
[iter 5], [train loss 5.64619], [loss_fuse 0.62275], [loss1_h2l 0.63238], [loss2_h2l 0.62799], [loss3_h2l 0.62854], [loss4_h2l 0.62754], [loss1_l2h 0.62169], [loss2_l2h 0.62765], [loss3_l2h 0.62799], [loss4_l2h 0.62966], [lr 0.0049963998560]
[iter 6], [train loss 5.50230], [loss_fuse 0.60640], [loss1_h2l 0.61578], [loss2_h2l 0.61224], [loss3_h2l 0.61265], [loss4_h2l 0.61204], [loss1_l2h 0.60477], [loss2_l2h 0.61137], [loss3_l2h 0.61250], [loss4_l2h 0.61455], [lr 0.0049954997749]
[iter 7], [train loss 5.41009], [loss_fuse 0.59597], [loss1_h2l 0.60553], [loss2_h2l 0.60235], [loss3_h2l 0.60317], [loss4_h2l 0.60149], [loss1_l2h 0.59320], [loss2_l2h 0.60095], [loss3_l2h 0.60257], [loss4_l2h 0.60487], [lr 0.0049945996759]
[iter 8], [train loss 5.29544], [loss_fuse 0.58298], [loss1_h2l 0.59223], [loss2_h2l 0.58907], [loss3_h2l 0.58940], [loss4_h2l 0.58843], [loss1_l2h 0.57977], [loss2_l2h 0.58854], [loss3_l2h 0.59141], [loss4_l2h 0.59361], [lr 0.0049936995588]
[iter 9], [train loss 5.17257], [loss_fuse 0.56921], [loss1_h2l 0.57891], [loss2_h2l 0.57580], [loss3_h2l 0.57576], [loss4_h2l 0.57406], [loss1_l2h 0.56563], [loss2_l2h 0.57461], [loss3_l2h 0.57816], [loss4_l2h 0.58041], [lr 0.0049927994237]
[iter 10], [train loss 5.00783], [loss_fuse 0.55039], [loss1_h2l 0.56082], [loss2_h2l 0.55778], [loss3_h2l 0.55772], [loss4_h2l 0.55532], [loss1_l2h 0.54725], [loss2_l2h 0.55634], [loss3_l2h 0.55995], [loss4_l2h 0.56227], [lr 0.0049918992705]
[iter 11], [train loss 4.92944], [loss_fuse 0.54220], [loss1_h2l 0.55182], [loss2_h2l 0.54899], [loss3_h2l 0.54916], [loss4_h2l 0.54508], [loss1_l2h 0.53858], [loss2_l2h 0.54804], [loss3_l2h 0.55150], [loss4_l2h 0.55407], [lr 0.0049909990993]
